DATE,REG,FLTS,YEAR,ROLL_MED_7
2023-06-08,BRA,5225,2023,5225
2023-06-09,BRA,4085,2023,4978
2023-06-10,BRA,3844,2023,4819
2023-06-11,BRA,4819,2023,4722
2023-06-12,BRA,4978,2023,4644
2023-06-13,BRA,4722,2023,4722
2023-06-14,BRA,4520,2023,4722
2023-06-15,BRA,4644,2023,4644
2023-06-16,BRA,5251,2023,4644
2023-06-17,BRA,4373,2023,4644
2023-06-18,BRA,4374,2023,5251
2023-06-19,BRA,5273,2023,5273
2023-06-20,BRA,5551,2023,5551
2023-06-21,BRA,5561,2023,5551
2023-06-22,BRA,5712,2023,5551
2023-06-23,BRA,5902,2023,5551
2023-06-24,BRA,4636,2023,5561
2023-06-25,BRA,4382,2023,5574
2023-06-26,BRA,5415,2023,5574
2023-06-27,BRA,5574,2023,5574
2023-06-28,BRA,5577,2023,5574
2023-06-29,BRA,5861,2023,5574
2023-06-30,BRA,5914,2023,5577
2023-07-01,BRA,4834,2023,5577
2023-07-02,BRA,4635,2023,5607
2023-07-03,BRA,5607,2023,5607
2023-07-04,BRA,5542,2023,5607
2023-07-05,BRA,5683,2023,5607
2023-07-06,BRA,5889,2023,5607
2023-07-07,BRA,5792,2023,5542
2023-07-08,BRA,4607,2023,5186
2023-07-09,BRA,4373,2023,5133
2023-07-10,BRA,5098,2023,5098
2023-07-11,BRA,5186,2023,5098
2023-07-12,BRA,5133,2023,5098
2023-07-13,BRA,5091,2023,5098
2023-07-14,BRA,5680,2023,5133
2023-07-15,BRA,4826,2023,5091
2023-07-16,BRA,4443,2023,5091
2023-07-17,BRA,5232,2023,5218
2023-07-18,BRA,4959,2023,5218
2023-07-19,BRA,5218,2023,5218
2023-07-20,BRA,5486,2023,5218
2023-07-21,BRA,5704,2023,5214
2023-07-22,BRA,4574,2023,5218
2023-07-23,BRA,4620,2023,5256
2023-07-24,BRA,5214,2023,5256
2023-07-25,BRA,5256,2023,5256
2023-07-26,BRA,5387,2023,5256
2023-07-27,BRA,5641,2023,5256
2023-07-28,BRA,5603,2023,5256
2023-07-29,BRA,4308,2023,5133
2023-07-30,BRA,4546,2023,5133
2023-07-31,BRA,5086,2023,5133
2023-08-01,BRA,5133,2023,5133
2023-08-02,BRA,5380,2023,5133
2023-08-03,BRA,5863,2023,5133
2023-08-04,BRA,5830,2023,5168
2023-08-05,BRA,4677,2023,5168
2023-08-06,BRA,4468,2023,5036
2023-08-07,BRA,5168,2023,5036
2023-08-08,BRA,5036,2023,5036
2023-08-09,BRA,4924,2023,5036
2023-08-10,BRA,5555,2023,5036
2023-08-11,BRA,5484,2023,4924
2023-08-12,BRA,4377,2023,4924
2023-08-13,BRA,4039,2023,5406
2023-08-14,BRA,4800,2023,5406
2023-08-15,BRA,5406,2023,5406
2023-08-16,BRA,5652,2023,5406
2023-08-17,BRA,5614,2023,5406
2023-08-18,BRA,5602,2023,5406
2023-08-19,BRA,4390,2023,5280
2023-08-20,BRA,4372,2023,5280
2023-08-21,BRA,5196,2023,5280
2023-08-22,BRA,5280,2023,5280
2023-08-23,BRA,5342,2023,5280
2023-08-24,BRA,5563,2023,5280
