APT,DATE,PHASE,N_VALID,N_VALID_MONTH,"(-INF,-60]","(-60,-55]","(-55,-50]","(-50,-45]","(-45,-40]","(-40,-35]","(-35,-30]","(-30,-25]","(-25,-20]","(-20,-16]","(-16,-10]","(-10,-5]","(-5,0]","(0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,INF)"
SBBR,2019-02-18,ARR,59999,4829,0,0,0,0,0,1,1,7,14,7,18,26,15,22,21,14,8,8,7,3,3,2,1,1,1,5
SBBR,2019-02-18,DEP,60102,4822,0,0,0,0,0,0,0,1,0,0,7,26,35,34,28,19,5,5,6,4,3,2,2,3,1,3
SBBR,2019-02-19,ARR,59999,4829,0,0,0,0,0,0,4,4,12,17,32,25,24,19,13,13,8,6,3,2,3,0,1,2,1,2
SBBR,2019-02-19,DEP,60102,4822,0,0,0,0,0,0,0,0,1,0,10,43,59,22,21,6,5,4,4,9,4,2,0,1,1,1
SBBR,2019-02-20,ARR,59999,4829,0,0,0,0,0,0,2,3,14,18,34,25,22,29,14,6,2,3,3,1,6,1,2,0,0,3
SBBR,2019-02-20,DEP,60102,4822,0,0,0,0,0,0,0,0,0,0,9,45,62,18,17,17,4,3,2,4,1,0,1,0,3,2
SBBR,2019-02-21,ARR,59999,4829,1,0,0,0,0,1,0,4,19,24,32,24,24,16,11,5,5,4,3,2,2,1,2,3,0,4
SBBR,2019-02-21,DEP,60102,4822,0,0,0,0,0,0,0,0,0,0,4,42,62,25,15,14,5,5,2,2,2,1,1,2,1,4
SBBR,2019-02-22,ARR,59999,4829,0,0,0,0,0,0,0,10,18,25,33,33,19,11,10,7,8,5,2,2,2,1,0,1,0,3
SBBR,2019-02-22,DEP,60102,4822,0,0,0,0,0,0,0,0,0,0,9,34,58,34,23,9,3,8,6,1,1,2,1,1,1,3
SBBR,2019-02-23,ARR,59999,4829,0,0,0,0,0,1,5,13,15,31,23,16,10,5,2,10,2,1,0,2,0,2,1,0,1,4
