ICAO,DATE,PHASE,N_VALID,"(-INF,-60]","(-60,-55]","(-55,-50]","(-50,-45]","(-45,-40]","(-40,-35]","(-35,-30]","(-30,-25]","(-25,-20]","(-20,-15]","(-15,-10]","(-10,-5]","(-5,0]","(0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,INF)"
LPPT,2019-03-02,DEP,267,0,0,0,0,0,0,0,0,0,3,4,17,59,50,54,28,12,9,7,8,3,1,1,1,2,8
LPPT,2019-03-03,ARR,270,0,0,0,0,0,0,1,0,3,8,21,16,15,9,31,20,24,25,15,13,16,11,4,5,4,29
LPPT,2019-03-03,DEP,276,0,0,0,0,0,0,0,0,0,0,3,11,40,47,25,27,19,18,10,14,15,8,6,7,4,22
LPPT,2019-03-04,ARR,288,0,0,0,0,0,1,1,1,4,9,19,26,20,33,39,29,23,14,16,7,9,3,8,4,0,22
LPPT,2019-03-04,DEP,285,0,0,0,0,0,0,0,1,0,1,4,13,38,65,46,22,18,13,13,10,13,7,3,2,1,15
LPPT,2019-03-05,ARR,263,0,0,0,0,0,0,2,2,5,7,5,21,27,33,29,26,25,17,15,8,8,7,2,4,1,19
LPPT,2019-03-05,DEP,255,0,0,0,0,0,0,0,0,0,0,2,16,52,46,40,17,11,17,12,8,7,3,4,4,4,12
LPPT,2019-03-06,ARR,268,0,0,0,1,0,1,2,2,3,2,11,13,34,38,26,26,26,21,14,8,7,4,8,0,3,18
LPPT,2019-03-06,DEP,272,0,1,0,0,0,0,0,0,0,0,2,9,49,48,34,27,24,16,19,9,7,3,4,3,3,14
LPPT,2019-03-07,ARR,273,0,0,0,0,0,0,0,4,7,16,28,38,36,42,28,21,17,10,7,4,6,2,2,0,0,5
LPPT,2019-03-07,DEP,273,0,0,0,0,0,0,0,0,0,1,2,13,53,85,46,31,12,11,8,4,1,2,0,2,0,2
LPPT,2019-03-08,ARR,301,1,0,0,0,0,0,0,3,10,9,21,38,35,46,23,33,22,15,15,8,6,3,2,2,2,7
LPPT,2019-03-08,DEP,303,0,0,0,0,0,0,0,0,0,1,4,11,34,65,55,29,44,17,12,5,9,4,3,0,2,8
LPPT,2019-03-09,ARR,268,0,0,0,0,2,1,1,1,8,21,26,37,30,42,21,15,11,10,14,7,6,3,1,0,5,6
