ADEP,ADES,LAT1,LON1,LAT,LON,GCD,REGION
LIRF,LEMD,41.804532,12.251998,40.493407,-3.572249,719.5122155446203,EUR
LIRF,LEBL,41.804532,12.251998,41.2971,2.07846,458.37891531576133,EUR
LIRF,LPPT,41.804532,12.251998,38.7813,-9.13592,994.5566186904185,EUR
LIRF,LGAV,41.804532,12.251998,37.936401,23.9445,586.7338751806705,EUR
LIRF,LTFM,41.804532,12.251998,41.274874,28.732136,740.994821458841,EUR
LFPG,EGLL,49.00896,2.554117,51.470748,-0.459909,187.90614742909804,EUR
LFPG,EGKK,49.00896,2.554117,51.148744,-0.185739,166.4440283641562,EUR
LFPG,EHAM,49.00896,2.554117,52.308601,4.76389,215.44171223422427,EUR
LFPG,EDDF,49.00896,2.554117,50.026706,8.55835,242.08002207750522,EUR
LFPG,EDDM,49.00896,2.554117,48.353802,11.7861,368.257342329703,EUR
LFPG,LSZH,49.00896,2.554117,47.458056,8.548056,257.36327254228763,EUR
LFPG,LIRF,49.00896,2.554117,41.804532,12.251998,594.8982877370604,EUR
LFPG,LFPG,49.00896,2.554117,49.00896,2.554117,0,EUR
LFPG,LEMD,49.00896,2.554117,40.493407,-3.572249,574.3263289033133,EUR
LFPG,LEBL,49.00896,2.554117,41.2971,2.07846,463.9779185323846,EUR
LFPG,LPPT,49.00896,2.554117,38.7813,-9.13592,794.5515241850889,EUR
LFPG,LGAV,49.00896,2.554117,37.936401,23.9445,1139.6056692893703,EUR
LFPG,LTFM,49.00896,2.554117,41.274874,28.732136,1195.641353515034,EUR
LEMD,EGLL,40.493407,-3.572249,51.470748,-0.459909,672.3426914237317,EUR
LEMD,EGKK,40.493407,-3.572249,51.148744,-0.185739,655.8026331690392,EUR
LEMD,EHAM,40.493407,-3.572249,52.308601,4.76389,788.555992476814,EUR
LEMD,EDDF,40.493407,-3.572249,50.026706,8.55835,767.3356104240958,EUR
LEMD,EDDM,40.493407,-3.572249,48.353802,11.7861,808.6916552394719,EUR
LEMD,LSZH,40.493407,-3.572249,47.458056,8.548056,669.5748007444456,EUR
LEMD,LIRF,40.493407,-3.572249,41.804532,12.251998,719.5122155446203,EUR
LEMD,LFPG,40.493407,-3.572249,49.00896,2.554117,574.3263289033133,EUR
LEMD,LEMD,40.493407,-3.572249,40.493407,-3.572249,0,EUR
LEMD,LEBL,40.493407,-3.572249,41.2971,2.07846,261.1996064731039,EUR
LEMD,LPPT,40.493407,-3.572249,38.7813,-9.13592,277.2705349370813,EUR
LEMD,LGAV,40.493407,-3.572249,37.936401,23.9445,1285.378172858552,EUR
LEMD,LTFM,40.493407,-3.572249,41.274874,28.732136,1460.2744516298972,EUR
LEBL,EGLL,41.2971,2.07846,51.470748,-0.459909,620.4042001816803,EUR
LEBL,EGKK,41.2971,2.07846,51.148744,-0.185739,599.5207072037947,EUR
LEBL,EHAM,41.2971,2.07846,52.308601,4.76389,670.9106939078604,EUR
LEBL,EDDF,41.2971,2.07846,50.026706,8.55835,590.5861504513554,EUR
LEBL,EDDM,41.2971,2.07846,48.353802,11.7861,591.7150565426114,EUR
LEBL,LSZH,41.2971,2.07846,47.458056,8.548056,462.6690340571934,EUR
LEBL,LIRF,41.2971,2.07846,41.804532,12.251998,458.37891531576133,EUR
LEBL,LFPG,41.2971,2.07846,49.00896,2.554117,463.9779185323846,EUR
LEBL,LEMD,41.2971,2.07846,40.493407,-3.572249,261.1996064731039,EUR
LEBL,LEBL,41.2971,2.07846,41.2971,2.07846,0,EUR
LEBL,LPPT,41.2971,2.07846,38.7813,-9.13592,537.3184904890426,EUR
LEBL,LGAV,41.2971,2.07846,37.936401,23.9445,1029.5039000453885,EUR
LEBL,LTFM,41.2971,2.07846,41.274874,28.732136,1199.074864491637,EUR
LPPT,EGLL,38.7813,-9.13592,51.470748,-0.459909,845.4455557549181,EUR
LPPT,EGKK,38.7813,-9.13592,51.148744,-0.185739,833.7250314065185,EUR
LPPT,EHAM,38.7813,-9.13592,52.308601,4.76389,998.0374954860018,EUR
LPPT,EDDF,38.7813,-9.13592,50.026706,8.55835,1012.3156267789401,EUR
LPPT,EDDM,38.7813,-9.13592,48.353802,11.7861,1072.2632175335132,EUR
LPPT,LSZH,38.7813,-9.13592,47.458056,8.548056,931.4284136657493,EUR
LPPT,LIRF,38.7813,-9.13592,41.804532,12.251998,994.5566186904185,EUR
LPPT,LFPG,38.7813,-9.13592,49.00896,2.554117,794.5515241850889,EUR
LPPT,LEMD,38.7813,-9.13592,40.493407,-3.572249,277.2705349370813,EUR
LPPT,LEBL,38.7813,-9.13592,41.2971,2.07846,537.3184904890426,EUR
LPPT,LPPT,38.7813,-9.13592,38.7813,-9.13592,0,EUR
LPPT,LGAV,38.7813,-9.13592,37.936401,23.9445,1551.464142665113,EUR
LPPT,LTFM,38.7813,-9.13592,41.274874,28.732136,1735.5424320463128,EUR
LGAV,EGLL,37.936401,23.9445,51.470748,-0.459909,1311.7545416966573,EUR
LGAV,EGKK,37.936401,23.9445,51.148744,-0.185739,1293.4401408528909,EUR
LGAV,EHAM,37.936401,23.9445,52.308601,4.76389,1179.3690858462255,EUR
LGAV,EDDF,37.936401,23.9445,50.026706,8.55835,981.5488626499965,EUR
LGAV,EDDM,37.936401,23.9445,48.353802,11.7861,820.398798923669,EUR
LGAV,LSZH,37.936401,23.9445,47.458056,8.548056,886.0537842962366,EUR
LGAV,LIRF,37.936401,23.9445,41.804532,12.251998,586.7338751806705,EUR
LGAV,LFPG,37.936401,23.9445,49.00896,2.554117,1139.6056692893703,EUR
LGAV,LEMD,37.936401,23.9445,40.493407,-3.572249,1285.378172858552,EUR
LGAV,LEBL,37.936401,23.9445,41.2971,2.07846,1029.5039000453885,EUR
LGAV,LPPT,37.936401,23.9445,38.7813,-9.13592,1551.464142665113,EUR
LGAV,LGAV,37.936401,23.9445,37.936401,23.9445,0,EUR
LGAV,LTFM,37.936401,23.9445,41.274874,28.732136,298.9503370949186,EUR
LTFM,EGLL,41.274874,28.732136,51.470748,-0.459909,1344.585333916763,EUR
LTFM,EGKK,41.274874,28.732136,51.148744,-0.185739,1329.518423416571,EUR
LTFM,EHAM,41.274874,28.732136,52.308601,4.76389,1179.8104455032892,EUR
LTFM,EDDF,41.274874,28.732136,50.026706,8.55835,992.7918953158496,EUR
LTFM,EDDM,41.274874,28.732136,48.353802,11.7861,835.8485850955749,EUR
LTFM,LSZH,41.274874,28.732136,47.458056,8.548056,940.0573648997608,EUR
LTFM,LIRF,41.274874,28.732136,41.804532,12.251998,740.994821458841,EUR
LTFM,LFPG,41.274874,28.732136,49.00896,2.554117,1195.641353515034,EUR
LTFM,LEMD,41.274874,28.732136,40.493407,-3.572249,1460.2744516298972,EUR
LTFM,LEBL,41.274874,28.732136,41.2971,2.07846,1199.074864491637,EUR
LTFM,LPPT,41.274874,28.732136,38.7813,-9.13592,1735.5424320463128,EUR
LTFM,LGAV,41.274874,28.732136,37.936401,23.9445,298.9503370949186,EUR
LTFM,LTFM,41.274874,28.732136,41.274874,28.732136,0,EUR
